Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
@RacioppiShelli buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:53:11,es,,0.0,0.0,@RacioppiShelli,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@EdmundoDantes_ buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:53:01,es,,0.0,0.0,@EdmundoDantes_,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@SashaMi25134288 buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:52:54,es,,0.0,0.0,@SashaMi25134288,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@MaestroDeGrado buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:51:56,es,,0.0,0.0,@MaestroDeGrado,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@delosdeantes_ buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:50:54,es,,0.0,0.0,@delosdeantes_,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@delosdeantes_ buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:50:28,es,,0.0,0.0,@delosdeantes_,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@MaestroDeGrado buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:44:27,es,,0.0,0.0,@MaestroDeGrado,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
"@Rgonza711 @AmealJorgeAmor @ChichoCosentino No sé si es el mismo vendedor ,pero hay quienes venden y se retiran y se devuelvenen  el banco Ciudad de microcentro",2022-05-30 12:13:10,es,,1.0,0.0,@Rgonza711,Fernando Legaz,"Bodegas del Norte 
distribuidora del plata.alimentos bebidas,para gastronomia C.A.B.J",5178.0,523.0,730.0,122.0,1.0,False,,,@flegaz
"@RebeldisimaC Si, en Banco Ciudad con una compra al mes con débito automáticamente está hecha.",2022-05-30 00:14:31,es,,1.0,0.0,@RebeldisimaC,Pao. Los animales NO son comida.,"Más cerca de los pañales para adultos que de los tampones. Si se me analiza, soy una idiota. Si se me compara, soy una genia. Blues 💛 Kks lejos 🤮No leo DM.",51253.0,17383.0,4929.0,3625.0,18.0,False,,,@TanaCaprichosa
"@Gustavo29601830 @C5N @marcoscittadini Ahora lo llevaremos al mundo real, tenes un kiosco, resulta que el de enfrente compra de los piratas de asfalto, te denuncian por tener personal no registrado y al de enfrente le dan créditos del banco ciudad y le regala mercadería al intendente y la justicia te embargo la cuenta",2022-05-29 20:59:49,es,,0.0,0.0,@Gustavo29601830,Maria silvia tordoya,,11515.0,1554.0,14.0,16.0,0.0,False,,,@Mariasilviatord
"Como siempre los cajeros del BANCO CIUDAD SIN PLATA LOS FINES DE SEMANA!!!!!
Decime @horaciorlarreta que pasa q nunca hay suficiente dinero en los cajeros, SERIA BUENO Q DES EXPLICACIONES!!!!!
Algun palito amarillo o maceta nueva?
VERGONZOSA GESTION!!!!!!!!!!!!",2022-05-29 19:53:02,es,,0.0,0.0,,Tana,Ningun blindaje mediatico ocultara la verdad.  La educacion DEBE ser pública. Enseñar a tener un pensamiento critico y asi evitar la manipulación patronal,21173.0,13133.0,722.0,539.0,0.0,False,,,@Tana47921856
@PatriMolinaR Gracias!!! Iba ir al Banco Ciudad. Tenés razón 💋,2022-05-29 18:44:47,es,,1.0,0.0,@PatriMolinaR,Pao. Los animales NO son comida.,"Más cerca de los pañales para adultos que de los tampones. Si se me analiza, soy una idiota. Si se me compara, soy una genia. Blues 💛 Kks lejos 🤮No leo DM.",51253.0,17383.0,4929.0,3625.0,18.0,False,,,@TanaCaprichosa
@malegimenez06 Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:32:44,es,,0.0,0.0,@malegimenez06,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@LucianaDattilo Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:32:30,es,,0.0,0.0,@LucianaDattilo,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@ddvega19642007 Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:32:19,es,,0.0,0.0,@ddvega19642007,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@TotiBertotti Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:32:10,es,,0.0,0.0,@TotiBertotti,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@Vickylolis Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:31:58,es,,0.0,0.0,@Vickylolis,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@JoRamognino Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:31:48,es,,0.0,0.0,@JoRamognino,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@Zeeb_b Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:31:02,es,,0.0,0.0,@Zeeb_b,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@PajeroTierno Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:30:52,es,,0.0,0.0,@PajeroTierno,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@OMARBROVIA Hola buenas tardes  Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:30:34,es,,0.0,0.0,@OMARBROVIA,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@jofit_o Buenas tardes Sr José déjanos x esté medio tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-29 18:30:12,es,,0.0,0.0,@jofit_o,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
